                                          title                                          | average 
 (#13.1)                                                                                 |       1
 (#8.17)                                                                                 |       1
 Top 10 Worst Mascots                                                                    |       1
 Abbey Is Silly                                                                          |       1
 Adi Osman                                                                               |       1
 The Noose                                                                               |       1
 After Adderall                                                                          |       1
 Agent Null-Acht-13                                                                      |       1
 Sanguinary Desires                                                                      |       1
 Besuch aus dem Süden                                                                    |       1
 Cannibals to Cannabis                                                                   |       1
 Pattern                                                                                 |       1
 Hamburgers to Hard Drives                                                               |       1
 Mother Teresa to Machine Guns                                                           |       1
 Helena Fürst - Kämpferin aus Leidenschaft                                               |       1
 (#3.59)                                                                                 |       1
 Fresh Voices                                                                            |       1
 Pyramid of Giza to Personal Pizza                                                       |       1
 Shakespeare to the Harlem Shake                                                         |       1
 Alicia Minshew                                                                          |       1
 Divided We Fall                                                                         |       1
 (1968-01-22)                                                                            |       1
 (2004-01-29)                                                                            |       1
 In Blood                                                                                |       1
 (2004-04-18)                                                                            |       1
 (1965-07-28)                                                                            |       1
 (2005-07-15)                                                                            |       1
 (#1.34)                                                                                 |       1
 (#1.1)                                                                                  |       1
 (#3.180)                                                                                |       1
 A Monumental Crisis                                                                     |       1
 Angler's Angle                                                                          |       1
 Appetite for... Dessert/It's Crandall's Birthday- Bandit!                               |       1
 Happy Holidays Mr. Gruff/The Grandfather Show                                           |       1
 Science Friction                                                                        |       1
 The Big Image Problem/Not on My Cinco de Mayo                                           |       1
 Thog the Cavemen Returns/Mr. Large's Slippery Scheme                                    |       1
 (2005-09-27)                                                                            |       1
 (2005-10-20)                                                                            |       1
 Candide                                                                                 |       1
 Alien horror                                                                            |       1
 Macbeth                                                                                 |       1
 Ushikoku ni mairu                                                                       |       1
 Sauced                                                                                  |       1
 Stalked                                                                                 |       1
 (2005-03-15)                                                                            |       1
 Je suis une célébrité, sortez-moi de là!                                                |       1
 Body by Jeff                                                                            |       1
 Nightmare on Stevens Street                                                             |       1
 The Truth, the Whole Truth, and Nothing But the Truth                                   |       1
 The World According to Jeff                                                             |       1
 They Call Him Leatherman                                                                |       1
 Body Language & The Male Gaze                                                           |       1
 Damsel in Distress: Part 1                                                              |       1
 Damsel in Distress: Part 2                                                              |       1
 Jiong ien sen                                                                           |       1
 Joan Crawford's Children                                                                |       1
 Damsel in Distress: Part 3                                                              |       1
 Jade - Positive Female Characters in Video Games                                        |       1
 Lingerie Is Not Armor                                                                   |       1
 (1958-10-15)                                                                            |       1
 (1964-09-12)                                                                            |       1
 (#5.39)                                                                                 |       1
 Ms. Male Character                                                                      |       1
 Strategic Butt Coverings                                                                |       1
 The Ziegfeld Touch                                                                      |       1
 Into the Void                                                                           |       1
 Night Moves                                                                             |       1
 The Unbareable Being of Lightness                                                       |       1
 Unmasked                                                                                |       1
 The Scythian - Positive Female Characters in Video Games                                |       1
 A Gun at His Back                                                                       |       1
 A Time to Cry                                                                           |       1
 (#2.14)                                                                                 |       1
 (#2.6)                                                                                  |       1
 (#6.29)                                                                                 |       1
 (#1.30)                                                                                 |       1
 Dinah Shore                                                                             |       1
 Ethel Merman                                                                            |       1
 Face of Fear                                                                            |       1
 Jeannie Carson                                                                          |       1
 Jo Stafford                                                                             |       1
 Peggy Lee                                                                               |       1
 Robert Mitchum                                                                          |       1
 Sammy Davis Jr.                                                                         |       1
 That Hogan Man                                                                          |       1
 The Brownstone Incident                                                                 |       1
 The Feeling Is Mutual                                                                   |       1
 The Tri-Tones                                                                           |       1
 Women as Background Decoration: Part 2                                                  |       1
 Women as Reward                                                                         |       1
 Women as Reward - Special DLC Mini-Episode                                              |       1
 Diva Viva                                                                               |       1
 The Double                                                                              |       1
 Alma                                                                                    |       1
 Stand Up Face the Fear                                                                  |       1
 Steckler Interviews                                                                     |       1
 Toukyou doutei                                                                          |       1
 Dojo Kids                                                                               |       1
 Seikai gûdo mooningu!!                                                                  |       1
 Pelet kuntilanak                                                                        |       1
 Interstelar 2: Operation Terra 2040                                                     |       1
 Pepita2                                                                                 |       1
 Me                                                                                      |       1
 Meri Jaan                                                                               |       1
 It's a Kid's World                                                                      |       1
 Phoenix                                                                                 |       1
 (2003-01-09)                                                                            |       1
 Dream Girls: Real Adventures 18                                                         |       1
 DreamGirls: Real Adventures 37                                                          |       1
 Stonerz                                                                                 |       1
 Pi                                                                                      |       1
 (#1.7)                                                                                  |       1
 Dronningen                                                                              |       1
 Dronningen kommer                                                                       |       1
 Dronningens nytårstale                                                                  |       1
 Best Hellraiser                                                                         |       1
 Dronningens nytårstale                                                                  |       1
 Dronningens nytårstale                                                                  |       1
 (#2.51)                                                                                 |       1
 (#3.43)                                                                                 |       1
 (#3.52)                                                                                 |       1
 (1966-04-05)                                                                            |       1
 (1966-04-26)                                                                            |       1
 (1967-09-11)                                                                            |       1
(1543 rows)

